centre;var;dim;cos2
5;bmi;3;0,527529921238139
5;bmi;4;0,159155870605222
5;bmi;5;0,138750545157981
5;age;1;0,0115680309587384
5;age;2;0,571974521995059
5;age;3;0,063909476450733
5;age;4;0,0102113538549155
5;age;5;0,33932624740505
5;egfr;1;0,0543426491647045
5;egfr;2;0,463900026771325
5;egfr;3;0,000482590750973029
5;egfr;4;0,330062820121215
5;egfr;5;0,150963883961947
5;sbp;1;0,797021743196371
5;sbp;2;0,0852371195120672
5;sbp;3;0,0185077370696413
5;sbp;4;0,00552326922968222
5;sbp;5;0,00624384040348299
5;dbp;1;0,854825236832447
5;dbp;2;0,0168140617928628
5;dbp;3;0,00318804991937323
5;dbp;4;0,00966548117744754
5;dbp;5;0,0281696511878054
5;hr;1;0,0493831591808341
5;hr;2;0,206642009810898
5;hr;3;0,417389071378066
5;hr;4;0,282833055395023
5;hr;5;0,0436479098562726
7;bmi;1;0,196510170944909
7;bmi;2;0,088228526654314
7;bmi;3;0,370549257212643
7;bmi;4;0,0510489217140574
7;bmi;5;0,293635033584186
7;age;1;0,0372925589971162
7;age;2;0,540503599886143
7;age;3;0,0351359220089796
7;age;4;0,0848142340775731
7;age;5;0,292347062317304
7;egfr;1;0,00205864906101941
7;egfr;2;0,108577105107259
7;egfr;3;0,555903070553065
7;egfr;4;0,2445194340133
7;egfr;5;0,088810166685542
7;sbp;1;0,394148217066879
7;sbp;2;0,361713093506782
7;sbp;3;0,000392293838155572
7;sbp;4;0,0923283553244776
7;sbp;5;0,0137476942705672
7;dbp;1;0,754413195324478
7;dbp;2;0,0151734371154475
7;dbp;3;0,0223097957660386
7;dbp;4;0,00155336221496434
7;dbp;5;0,0247807512415036
7;hr;1;0,246832183792838
7;hr;2;0,155596596430111
7;hr;3;0,0685165180713431
7;hr;4;0,455654854929455
7;hr;5;0,015085275720348
8;bmi;1;0,0616777402522911
8;bmi;2;0,478985963533414
8;bmi;3;0,182477686325926
8;bmi;4;0,0171367464329611
8;bmi;5;0,259716186759727
8;age;1;0,0434070404473772
8;age;2;0,571055399998269
8;age;3;0,010905879782985
8;age;4;0,109765616061326
8;age;5;0,263678295968943
8;egfr;1;0,000221368645940199
8;egfr;2;0,237904928596851
8;egfr;3;0,686474839034034
8;egfr;4;0,0629578955982949
8;egfr;5;0,0116853622009103
8;sbp;1;0,775842989496564
8;sbp;2;0,0395599385246396
8;sbp;3;0,00253077550988436
8;sbp;4;0,07402130840832
8;sbp;5;0,00768007391352507
8;dbp;1;0,827730379577866
8;dbp;2;0,00735306542626955
8;dbp;3;0,000699513060965117
8;dbp;4;0,0445413672080771
8;dbp;5;0,0140052046951467
8;hr;1;0,303441842386249
8;hr;2;0,0229064817138019
8;hr;3;0,0607458183483051
8;hr;4;0,524315111330961
8;hr;5;0,0882804997240657
9;bmi;1;0,0388712463071848
9;bmi;2;0,180992949298714
9;bmi;3;0,600517389584032
9;bmi;4;0,0318753395148847
9;bmi;5;0,146597935516147
9;age;1;0,224531422380038
9;age;2;0,391928135683214
9;age;3;0,00271119535803352
9;age;4;0,10756819134825
9;age;5;0,267664819126096
9;egfr;1;0,213357158898685
9;egfr;2;0,155006230567853
9;egfr;3;0,000563877189519488
9;egfr;4;0,627765605357637
9;egfr;5;6,28710900073691e-05
9;sbp;1;0,301734009796336
9;sbp;2;0,495782357800737
9;sbp;3;0,0798031019002813
9;sbp;4;0,000914906496324643
9;sbp;5;0,00196546996928553
9;dbp;1;0,695991070448738
9;dbp;2;0,157180564035896
9;dbp;3;0,000194138221376764
9;dbp;4;0,00155316953612446
9;dbp;5;0,00100516792445716
9;hr;1;0,288955371033287
9;hr;2;0,0832983738329336
9;hr;3;0,381401784053822
9;hr;4;0,0548310652544073
9;hr;5;0,17384485747358
